央视,#genre#
CCTV4K,http://47.242.229.105:35455/gaoma/cctv4k.m3u8
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN英语,http://live.20191209.xyz:5888/migu/609017205.m3u8?migutoken=85924cb6f79b55f40fe0c46a6dc6258e51d4aa7a19a70869f3ec485ef811ba947519ae2f850295ff5c57053896e58db25a3f1e9ed8fd62327f85e964d621f4531d2fe457de57f250bdfa070541
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
央视台球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380775932cff/1.m3u8?m3u8_level=2
央视高网,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63807743b61bb/1.m3u8?m3u8_level=2
世界地理,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077a61f4f3/1.m3u8?m3u8_level=2
风云足球,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638077160c04a/1.m3u8?m3u8_level=2


卫视,#genre#
北京卫视,http://39.187.68.194:5027/TVOD/1000000005000265027/ystenlive/index.m3u8
湖南卫视,http://39.187.68.194:5027/TVOD/1000000005000265024/ystenlive/index.m3u8
东方卫视,http://36.32.174.67:60080/newlive/live/hls/24/live.m3u8
东方卫视,http://110.53.52.63:8888/newlive/live/hls/19/live.m3u8
四川卫视,http://110.53.52.63:8888/newlive/live/hls/31/live.m3u8
天津卫视,http://39.187.68.194:5027/TVOD/1000000005000265026/ystenlive/index.m3u8
安徽卫视,http://39.187.68.194:5027/TVOD/1000000005000265025/ystenlive/index.m3u8
山东卫视,http://39.187.68.194:5027/TVOD/1000000005000265019/ystenlive/index.m3u8
广东卫视,http://39.187.68.194:5027/TVOD/1000000005000265034/ystenlive/index.m3u8
广西卫视,http://110.53.52.63:8888/newlive/live/hls/25/live.m3u8
江苏卫视,http://39.187.68.194:5027/TVOD/1000000005000265030/ystenlive/index.m3u8
江西卫视,http://39.187.68.194:5027/TVOD/1000000005000265032/ystenlive/index.m3u8
河北卫视,http://220.164.192.48:50085/tsfile/live/0113_1.m3u8
河南卫视,http://110.53.52.63:8888/newlive/live/hls/32/live.m3u8
浙江卫视,http://220.164.192.48:50085/tsfile/live/0127_1.m3u8
海南卫视,http://220.164.192.48:50085/tsfile/live/1003_1.m3u8
深圳卫视,http://58.210.168.86:10800/newlive/live/hls/26/live.m3u8
湖北卫视,http://39.187.68.194:5027/TVOD/1000000005000265023/ystenlive/index.m3u8
山西卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000002000021220/1.m3u8
东南卫视,http://39.187.68.194:5027/TVOD/1000000005000265033/ystenlive/index.m3u8
贵州卫视,http://110.53.52.63:8888/newlive/live/hls/28/live.m3u8
辽宁卫视,http://36.134.80.169:8833/TVOD/1000000005000265022/ystenlive/index.m3u8
重庆卫视,http://39.187.68.194:5027/TVOD/1000000005000265017/ystenlive/index.m3u8
黑龙江卫视,http://110.53.52.63:8888/newlive/live/hls/44/live.m3u8
内蒙古卫视,http://110.53.52.63:8888/newlive/live/hls/45/live.m3u8
宁夏卫视,http://110.53.52.63:8888/newlive/live/hls/39/live.m3u8
陕西卫视,http://110.53.52.63:8888/newlive/live/hls/40/live.m3u8
甘肃卫视,http://110.53.52.63:8888/newlive/live/hls/35/live.m3u8
吉林卫视,http://110.53.52.63:8888/newlive/live/hls/34/live.m3u8
云南卫视,http://110.53.52.63:8888/newlive/live/hls/26/live.m3u8
三沙卫视,http://61.138.128.226:19901/tsfile/live/1020_1.m3u8
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
安多卫视,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
青海卫视,http://39.187.68.194:5027/TVOD/1000000002000013359/ystenlive/index.m3u8
新疆卫视,http://110.53.52.63:8888/newlive/live/hls/37/live.m3u8
西藏卫视,http://110.53.52.63:8888/newlive/live/hls/36/live.m3u8
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-90fe76c52091/index.m3u8
厦门卫视,http://45.205.27.14:50001/1000000005000266006/ystenlive/index.m3u8
康巴卫视,http://218.89.240.144:59901/tsfile/live/1010_1.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
凤凰卫视,http://120.198.101.106:9901/tsfile/live/1062_1.m3u8
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
凤凰香港,http://13457610200.8866.org:2018/live/凤凰香港/index.m3u8
凤凰电影,http://mail.petzhu.top:7000/rtp/239.254.201.1:5214
凤凰电影,http://117.114.153.1:8180/TV00000000000000000072@HHZT
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
广汉电台,http://125.64.92.153/dcpull.ghrmt.cn/live/5c2c4a98018f10009b4cb2db00000000/playlist.m3u8?wsSecret=5c7f02179fac62bcd5e37b677587881b&wsTime=1724951555&wsSession=6f74061c6fec5fdbd5780856-172495149536409&wsIPSercert=d630423fc9037516ad85a193f5e01011&wsiphost=local&wsBindIP=1
广汉综合,http://125.64.92.153/dcpull.ghrmt.cn/live/5c2bdb1a018f100098165ffc00000000/playlist.m3u8?wsSecret=72c6044da4af6ab43f98576d779962b8&wsTime=1724951228&wsSession=6f74061c6fec5fdbd5780856-172495116793763&wsIPSercert=d630423fc9037516ad85a193f5e01011&wsiphost=local&wsBindIP=1
什邡新闻,http://live.sfrmt.com:85/live/zhpd.m3u8?zsicd
绵竹综合,http://46894.hlsplay.aodianyun.com/tv_radio_46894/tv_channel_1933.m3u8?auth_key=4807819605-0-0-06fa1f0d2f0250fa73a89de237107d09&extra_key=EvJVL3KK5HJ1h6oOjx69AgjQI4GjmnaB1yE4KTwmVdgTYWxNfERkY20fh4KfjUR10G8RpXwiCSZtYAwaRjzPxoNdIG1huLOtYZZ42t9vHbklJUojWKLat7xinHcfUQQrpQF7fhiYv4ym1x1vdoJ1MptrkrhD74eej4Q9CfAzWJhVLZWPjO8okemI219siLuW


两岸,#genre#
求索生活,http://36.134.80.169:8833/TVOD/6000000002000003382/wasusyt/index.m3u8
求索动物,http://36.134.80.169:8833/TVOD/6000000002000010046/wasusyt/index.m3u8
求索纪录,http://36.134.80.169:8833/TVOD/6000000002000032052/wasusyt/index.m3u8
求索科学,http://36.134.80.169:8833/TVOD/6000000002000032344/wasusyt/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
CHC动作电影,http://110.53.52.63:8888/newlive/live/hls/53/live.m3u8
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
CHC高清电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380764b172c9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNS8qWmEGeaUedzcFVVumqf9cm8lJoOcrIZueLbqOJTuoPV%2FwBk6CoHYGFV14SkLW04
CHC影迷电影,http://218.15.183.23:9901/tsfile/live/23044_1.m3u8
CHC影迷电影,http://110.53.52.63:8888/newlive/live/hls/52/live.m3u8
NewTV超级电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV动作电影,http://43.138.0.72:35455/yy/1382736823
NewTV精品记录,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
美亚电影台,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
纪实人文,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
好莱坞电影,https://stream1.freetv.fun/hao-lai-wu-dian-ying-2.ctv
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
东森新闻,http://37.27.111.214:8080/live/20/hls.m3u8
http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
中天新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
华视新闻,http://37.27.111.214:8080/live/8/hls.m3u8
三立新闻,https://stream1.freetv.fun/san-li-xin-wen-2.ctv
三立新闻,https://stream1.freetv.fun/san-li-xin-wen-4.m3u8
台湾Plus,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
台湾Plus,https://ythls.armelin.one/channel/UC7c6rvyAZLpKGk8ttVnpnLA.m3u8
台湾Plus,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
TVBS,https://stream1.freetv.fun/tvbs-9.ctv
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
TVBS新闻台,http://aktv.top/AKTV/live/aktv3/null-2/AKTV.m3u8
华数超清,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000003000004748/index.m3u8?channel-id=wasusyt&Contentid=6000000003000004748&livemode=1&stbId


西域,#genre#
半岛英语,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
朝日新闻,https://ythls.armelin.one/channel/UCMKvT0YVLufHMdGLH89J1oA.m3u8
BBC,https://cdn4.skygo.mn/live/disk1/BBC_News/HLSv3-FTA/BBC_News.m3u8
BBC,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv14/b=5070016/main.m3u8
BBC,http://doubleclicktv.live/70376812/52663544/277194
BBC,http://doubleclicktv.live/70376812/52663544/277195
Bloomberg TV,https://bloomberg-bloomberg-1-be.samsung.wurl.tv/playlist.m3u8
BS 日视,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs02
BS TBS,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs04
BS Shochiku Tokyu,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs31
Clarity 4K,https://d6s2o8so4wk28.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-2vzmnn0zl3exh-prod/amgclarity4k/playlist.m3u8
CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
CNN,http://doubleclicktv.live/70376812/52663544/277181
CNN,http://ua-iptv.com:8080//Balcony11/8036405556/707932
CNN Europe,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/playlist.m3u8
CBS纽约,https://www.cbsnews.com/common/video/cbsn-ny-prod.m3u8
CBN新闻,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
Discovery History,http://ua-iptv.com:8080//Balcony11/8036405556/755272
Discovery Science,http://ua-iptv.com:8080//Balcony11/8036405556/755273
DW,https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8
DD India,https://ythls.armelin.one/channel/UCGDQNvybfDDeGTf4GtigXaw.m3u8
Euronews,http://doubleclicktv.live/70376812/52663544/277192
Fuji TV,https://fujitv4.mov3.co/hls/fujitv.m3u8
France 24,https://ythls.armelin.one/channel/UCQfwfsi5VrQ8yKZ-UWmAEFg.m3u8
FOX新闻,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
FOX新闻,https://stream2.cinerama.uz/1252/tracks-v1a1/mono.m3u8
GB News,https://live-gbnews.simplestreamcdn.com/live5/gbnews/bitrate1.isml/manifest.m3u8
Go2Travel,https://go2thls.wns.live/hls/stream.m3u8
HLN,https://turnerlive.warnermediacdn.com/hls/live/586496/cnngo/hln/VIDEO_0_3564000.m3u8
Hokkaido News UHB,https://ythls.armelin.one/channel/UCpQs_warGhUzJhBdwLfF34g.m3u8
India Today,https://indiatodaylive.akamaized.net/hls/live/2014320/indiatoday/indiatodaylive/playlist.m3u8
Iran International,https://live.playstop.me/LS-63503-4/index.m3u8
Известия,http://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
KCTV,http://119.77.96.184:1935/chn05/chn05/chunklist_w1306745753.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist.m3u8
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
National Geographic,http://ua-iptv.com:8080//Balcony11/8036405556/707512
NAT GEO WILD,http://ua-iptv.com:8080//Balcony11/8036405556/707510
NEWS24,https://stream01.willfonk.com/live_playlist.m3u8?cid=CS349&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
NHK BSP4K,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs01
NHK E Tokyo,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gd02
NHK G Tokyo,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gd01
NHKWORLD,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
NHK WORLD JP,https://ythls.armelin.one/channel/UCSPEjw8F2nQDtmUKPFNF7_A.m3u8
NHK World Premium,https://cdn.skygo.mn/live/disk1/NHK_World_Premium/HLSv3-FTA/NHK_World_Premium.m3u8
NASA TV Public,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
NBC Chicago,https://nbculocalfast.akamaized.net/hls/live/2096797/nbcchicago/master.m3u8
NTV News24,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
Reuters Now,https://reuters-reutersnow-1-nl.samsung.wurl.tv/playlist.m3u8
RT新闻,https://rt-glb.rttv.com/live/rtnews/playlist.m3u8
RT新闻,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
RT纪录,https://rt-rtd.rttv.com/live/rtdoc/playlist_4500Kb.m3u8
Россия 24,http://moobl.ru/hls/Russia_24.m3u8
Sky News,http://doubleclicktv.live/70376812/52663544/277190
Sky News,http://doubleclicktv.live/70376812/52663544/277189
Sky News AU,https://i.mjh.nz/sky-news-now.m3u8
Sony Movies,http://n1.klowdtv.net/live1/smc_720p/playlist.m3u8
TAKARAZUKA SKY STAGE,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs28
TBS News,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs11
Toei Channel,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=cs27
TRT World,https://tv-trtworld.live.trt.com.tr/master_1080.m3u8
TV Asahi,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=gd06
Victor Valley Movies,https://2-fss-1.streamhoster.com/pl_122/201794-1414514-1/playlist.m3u8
World Fishing Network,http://ua-iptv.com:8080//Balcony11/8036405556/707913
Yahoo! Finance,https://d1ewctnvcwvvvu.cloudfront.net/playlist.m3u8


剧集,#genre#
周星驰电影,http://182.40.120.171/test-txdwk.flv.huya.com/src/1394575534-1394575534-5989656310331736064-2789274524-10057-A-0-1.m3u8
成龙电影,http://182.40.120.195/test-txdwk.flv.huya.com/src/1394565191-1394565191-5989611887484993536-2789253838-10057-A-0-1.m3u8
刘德华电影,http://182.40.120.195/test-txdwk.flv.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1.m3u8
亮剑,http://182.40.120.191/test-txdwk.flv.huya.com/src/1239543153972-1239543153972-11135015062081634304-2479086431400-10057-A-0-1.m3u8
